#pragma: setsize=10 layout=Enumerate depth=3 maxsets=6
# maxsets=6
#☹☺←→↺
#-ᏍᎪ, -Ꮝ, -Ꮷ, -Ꮚ, -Ꮎ, -Ꮂ, 

#random: ir=ᎩᎦᎨᎢ, ᎩᎨᎢ
#random: ib=ᎬᎿᎨᎢ, ᎬᏂᎨᎢ
#random: ar=ᎠᎩᎦᎨᎢ, ᎠᎩᎨᎢ
#random: ab=ᎠᎬᎿᎨᎢ, ᎠᎬᏂᎨᎢ

ᎦᏙ ᎤᏍᏗ ᎤᏁᎦ ᏅᏯ?	ᎯᎠ ᎤᏁᎦ ᏅᏯ.
ᎦᏙ ᎤᏍᏗ ᎤᏬᏗᎨ ᏅᏯ?	ᎯᎠ ᎤᏬᏗᎨ ᏅᏯ.
ᎦᏙ ᎤᏍᏗ <ib> ᏅᏯ?	ᎯᎠ <ib> ᏅᏯ.
ᎦᏙ ᎤᏍᏗ ᏓᎶᏂᎨ ᏅᏯ?	ᎯᎠ ᏓᎶᏂᎨ ᏅᏯ.
ᎦᏙ ᎤᏍᏗ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏅᏯ?	ᎯᎠ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏅᏯ.

ᎦᏙ ᎤᏍᏗ ᎢᏤᎢᏳᏍᏗ ᎩᏟ?	ᎯᎠ ᎢᏤᎢᏳᏍᏗ ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᎤᏁᎦ ᎩᏟ?	ᎯᎠ ᎤᏁᎦ ᎩᏟ (alive) ᎠᎴ ᎯᎠ ᎤᏁᎦ ᎩᏟ (dead).
ᎦᏙ ᎤᏍᏗ <ar> ᎩᏟ?	ᎯᎠ <ar> ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᎠᏓᎭᎵᎨ ᎩᏟ?	ᎯᎠ ᎠᏓᎭᎵᎨ ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᎠᏓᎶᏂᎨ ᎩᏟ?	ᎯᎠ ᎠᏓᎶᏂᎨ ᎩᏟ.

ᎦᏙ ᎤᏍᏗ <ib> ᎩᏟ?	ᎯᎠ <ib> ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᏌᎪᏂᎨ ᎩᏟ?	ᎯᎠ ᏌᎪᏂᎨ ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᏓᎶᏂᎨ ᎩᏟ?	ᎯᎠ ᏓᎶᏂᎨ ᎩᏟ.
ᎦᏙ ᎤᏍᏗ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᎩᏟ?	ᎯᎠ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᎩᏟ.

ᎦᏙ ᎤᏍᏗ ᎢᏤᎢᏳᏍᏗ ᏪᏌ?	ᎯᎠ ᎢᏤᎢᏳᏍᏗ ᏪᏌ (alive) ᎠᎴ ᎯᎠ ᎢᏤᎢᏳᏍᏗ ᏪᏌ (dead).
ᎦᏙ ᎤᏍᏗ ᎤᏬᏗᎨ ᏪᏌ?	ᎯᎠ ᎤᏬᏗᎨ ᏪᏌ (alive) ᎠᎴ ᎯᎠ ᎤᏬᏗᎨ ᏪᏌ (dead).
ᎦᏙ ᎤᏍᏗ ᎠᏌᎪᏂᎨ ᏪᏌ?	ᎯᎠ ᎠᏌᎪᏂᎨ ᏪᏌ.
ᎦᏙ ᎤᏍᏗ ᎠᏓᎭᎵᎨ ᏪᏌ?	ᎯᎠ ᎠᏓᎭᎵᎨ ᏪᏌ.
ᎦᏙ ᎤᏍᏗ ᎠᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏪᏌ?	ᎯᎠ ᎠᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏪᏌ.

ᎦᏙ ᎤᏍᏗ <ir> ᏪᏌ?	ᎯᎠ <ir> ᏪᏌ.
ᎦᏙ ᎤᏍᏗ <ib> ᏪᏌ?	ᎯᎠ <ib> ᏪᏌ.
ᎦᏙ ᎤᏍᏗ ᏓᎶᏂᎨ ᏪᏌ?	ᎯᎠ ᏓᎶᏂᎨ ᏪᏌ.

